sample,run,stage,flow_ml_min,sty_mg_g_h_mean,conversion_pct_mean,carbon_balance_pct_mean,sty_ratio_to_initial30
5Zr,II,30_initial,30,563.8809337,0.9291794207,94.667728008,1.0
5Zr,II,50,50,654.9258936,0.6483493686666667,95.80282987,1.161461320038954
5Zr,II,80,80,732.4959501666666,0.465271882,95.34949180333334,1.2990259226540444
5Zr,II,30_return,30,558.059488325,0.901440131,95.8918736375,0.9896761088607808
5Zr,III,30_initial,30,568.24281218,0.9329458279,98.426659178,1.0
5Zr,III,50,50,695.3585327666667,0.668442135,100.57182374333334,1.2236996542006426
5Zr,III,80,80,776.4245993666667,0.47915177866666664,100.21862577666667,1.3663606168426496
5Zr,III,30_return,30,579.1376620333333,0.9224317776666666,99.29200559777777,1.0191728775442603
10Zr,I,30_initial,30,505.6054479872684,0.8595927434202644,95.88473863345776,1.0
10Zr,I,50,50,589.2442321026733,0.6117732609043322,95.16252942414772,1.165423027873527
10Zr,I,80,80,657.3643506040635,0.43555756199554757,95.19392036343962,1.3001528231567165
10Zr,I,30_return,30,502.71577166100695,0.8561689707063613,94.10381188740018,0.9942847207486296
20Zr,I,30_initial,30,500.4178684142384,0.7902221012994315,100.34635087942065,1.0
20Zr,I,50,50,590.6143640890926,0.5556450511230141,101.45342032363399,1.180242356174602
20Zr,I,80,80,660.3819174265034,0.39671084102327336,100.58431024846824,1.3196609455996666
20Zr,I,30_return,30,508.20978714903526,0.7873776633218359,100.69778915241191,1.0155708243582278
