sample,target_2theta_deg,center_2theta_deg,observed_fwhm_deg,pseudo_voigt_eta,fwhm_fit_se_deg
5Zr,30.6,30.601767132914265,0.7543827789201327,0.6006229377384831,0.007034823926738767
5Zr,35.5,35.46715553228675,0.7138308646622318,0.37525807682719164,0.008133887426800672
5Zr,51.0,51.04173583537714,0.8029895434366374,0.4321003011349296,0.010633620773291608
5Zr,60.7,60.67510945412851,0.810904830069992,0.46008473843619035,0.02852028295389364
10Zr,30.6,30.596769406442334,0.7407918731427591,0.4550370201077647,0.006643788948025103
10Zr,35.5,35.46583451938118,0.7444126031167322,0.5917232170790334,0.013214870795137293
10Zr,51.0,51.02591964043756,0.8005782202411581,0.3300770050656832,0.011077227097341252
10Zr,60.7,60.66075733836763,0.8147888144097938,0.3007056898963482,0.02055510807368952
20Zr,30.6,30.55009748657933,0.8219537794711388,0.1502215641302829,0.009733946016663577
20Zr,35.5,35.41021210918975,0.8198678612965212,0.15832194524668827,0.014684989881513275
20Zr,51.0,50.956539889749614,0.9083771584226846,0.23152332031261208,0.03177511294160048
20Zr,60.7,60.58515643891258,0.9040978343772132,4.329336085691056e-18,0.040868330681930416
